lat,lon,num_tweets,num_users
40.539,-80.085,1,1
40.437,-79.826,2,2
40.403,-79.874,6,5
40.543,-80.084,1,1
40.431,-79.968,27,18
40.271,-80.154,21,1
40.592,-79.966,19,3
40.258,-80.157,255,1
40.518,-80.176,1,1
40.349,-80.009,54,1
40.497,-80.168,12,1
40.465,-79.83,21,9
40.447,-80.138,7,6
40.56,-80.06,1,1
40.629,-80.095,1,1
40.44,-79.963,1370,104
40.28,-80.053,1,1
40.447,-80.018,183,138
40.435,-79.974,24,19
40.446,-80.035,2,2
40.585,-80.037,31,23
40.372,-79.812,1,1
40.392,-79.985,56,4
40.456,-79.855,7,1
40.511,-80.136,6,6
40.456,-80.185,25,19
40.337,-79.874,826,2
40.489,-80.01,49,36
40.415,-79.885,1,1
40.549,-80.028,5,5
40.595,-80.042,1,1
40.289,-80.174,8,4
40.348,-79.853,25,6
40.538,-80.059,1,1
40.538,-80.178,9,3
40.368,-79.854,20,4
40.495,-80.003,227,2
40.405,-80.002,10,10
40.267,-80.003,7,6
40.609,-80.029,1,1
40.431,-79.987,174,41
40.459,-80.136,1,1
40.504,-79.848,1,1
40.565,-80.017,290,10
40.503,-80.061,22,8
40.508,-79.95,28,4
40.319,-79.858,1,1
40.257,-80.154,7,2
40.49,-79.976,1,1
40.448,-79.977,14,4
40.333,-79.881,1,1
40.326,-79.839,21,9
40.362,-80.074,3,3
40.467,-80.105,9,8
40.524,-80.009,2,2
40.442,-80.024,29,20
40.385,-79.948,213,4
40.434,-79.975,11,10
40.249,-79.994,2,2
40.492,-79.995,3,1
40.546,-80.168,20,2
40.603,-80.085,1,1
40.325,-80.059,1,1
40.542,-80.094,8,7
40.416,-80.081,4,4
40.586,-80.1,5,5
40.529,-79.842,2,2
40.409,-79.835,4,1
40.411,-80.034,1,1
40.566,-80.022,1,1
40.296,-80.157,1,1
40.456,-79.854,1,1
40.404,-80.096,45,3
40.45,-79.97,4,3
40.325,-79.914,1,1
40.352,-80.029,3,3
40.587,-80.068,122,1
40.465,-80.186,1,1
40.382,-80.171,1,1
40.434,-79.84,2,2
40.369,-80.044,55,2
40.353,-79.864,54,6
40.269,-79.855,3,2
40.458,-80.168,179,107
40.443,-79.806,2,2
40.364,-79.853,3,3
40.429,-79.808,4,4
40.433,-80.093,2,2
40.359,-79.966,9,3
40.393,-79.987,23,15
40.348,-80.137,36,3
40.405,-80.194,3,3
40.456,-80.057,8,5
40.387,-79.899,9,5
40.606,-80.097,1,1
40.459,-80.179,1,1
40.412,-79.803,3,2
40.31,-80.017,40,5
40.44,-79.974,4,4
40.329,-80.199,3,1
40.296,-79.915,3,2
40.388,-80.082,14,3
40.42,-79.829,10,5
40.339,-79.883,2,2
40.444,-79.857,1,1
40.253,-80.06,4,2
40.43,-79.997,127,49
40.525,-80.007,71,43
40.36,-79.997,82,4
40.446,-79.863,1,1
40.641,-80.095,1,1
40.45,-79.923,2,2
40.477,-79.96,4,3
40.502,-79.817,4,1
40.449,-79.983,10,8
40.363,-80.083,4,4
40.517,-80.012,13,12
40.373,-80.155,2,1
40.437,-79.978,71,55
40.345,-80.046,17,9
40.598,-80.032,1,1
40.292,-80.029,7,6
40.626,-80.047,1,1
40.294,-80.099,28,2
40.419,-79.931,2,1
40.476,-80.17,1,1
40.461,-79.919,158,20
40.345,-79.972,17,13
40.605,-80.09,25,6
40.479,-79.913,1,1
40.443,-80.009,65,57
40.317,-80.125,1,1
40.635,-79.955,1,1
40.321,-80.087,46,6
40.534,-79.835,3,2
40.319,-79.811,4,2
40.599,-79.95,2,2
40.39,-79.965,96,12
40.46,-79.891,2,2
40.615,-79.974,1,1
40.528,-79.85,37,28
40.386,-80.001,11,6
40.606,-80.037,8,1
40.445,-79.992,616,246
40.505,-79.932,1,1
40.508,-79.841,125,4
40.327,-80.049,2,2
40.541,-79.827,14,13
40.461,-80.162,5,4
40.341,-79.989,16,8
40.544,-79.817,4,3
40.311,-80.09,1,1
40.513,-79.913,3,1
40.347,-79.946,1,1
40.393,-79.951,1,1
40.449,-79.942,20,11
40.375,-79.906,3,3
40.458,-80.008,296,16
40.434,-79.823,3,3
40.479,-79.824,13,3
40.363,-80.038,2,2
40.32,-79.892,2,2
40.265,-80.113,7,4
40.426,-80.158,1,1
40.437,-80.053,6,4
40.401,-79.906,13,9
40.449,-80.142,72,43
40.455,-80.192,3,3
40.418,-80.096,4,3
40.427,-79.897,1,1
40.473,-80.066,4,3
40.485,-79.957,1,1
40.419,-79.956,12,8
40.495,-79.881,1,1
40.624,-80.058,5,4
40.331,-79.98,1,1
40.445,-79.825,6,4
40.526,-80.027,82,36
40.542,-80.059,44,1
40.598,-79.931,4,4
40.453,-80.005,508,142
40.269,-80.011,7,5
40.315,-80.087,15,2
40.37,-79.955,3,3
40.276,-80.141,13,7
40.451,-80.173,28,21
40.463,-80.09,1,1
40.442,-79.801,13,12
40.267,-80.185,1,1
40.382,-79.956,8,2
40.272,-80.021,3,3
40.302,-79.805,4,2
40.474,-80.112,2,1
40.291,-79.892,1,1
40.404,-79.887,8,4
40.302,-80.156,3,1
40.441,-80.008,222,174
40.47,-79.967,10,6
40.261,-80.139,3,3
40.31,-79.802,8,2
40.475,-80.019,1,1
40.352,-79.837,5,2
40.459,-80.027,16,8
40.467,-80.024,5,2
40.357,-80.052,760,249
40.346,-79.893,7,5
40.296,-80.074,2,2
40.556,-79.809,7,6
40.528,-80.189,3,3
40.539,-80.009,5,3
40.321,-80.08,5,2
40.429,-80.132,27,24
40.357,-80.05,21,12
40.521,-79.849,2,2
40.344,-79.876,11,4
40.501,-80.017,29,3
40.437,-79.811,3,2
40.328,-80.196,1,1
40.518,-79.945,2,2
40.618,-80.09,4,2
40.471,-80.118,2,1
40.33,-79.901,4,4
40.341,-80.022,13,12
40.431,-79.885,34,12
40.396,-79.89,2,1
40.34,-79.846,24,2
40.508,-79.833,1,1
40.457,-80.016,56,24
40.253,-80.146,10,2
40.382,-79.998,37,24
40.306,-80.05,1,1
40.491,-79.923,4,1
40.438,-80.052,6,5
40.365,-79.956,1,1
40.4,-79.916,5,3
40.391,-79.862,1,1
40.36,-80.013,1,1
40.44,-79.998,1907,335
40.337,-79.911,2,2
40.272,-79.9,44,4
40.301,-79.943,3,2
40.495,-80.001,56,13
40.311,-80.073,1,1
40.337,-80.133,10,10
40.343,-79.921,4,3
40.3,-79.894,3,1
40.322,-80.138,3,2
40.583,-79.867,1,1
40.491,-79.816,1,1
40.395,-80.162,2,2
40.275,-80.187,6,5
40.534,-79.97,7,7
40.315,-80.085,313,1
40.529,-79.867,2,1
