BERNARD,M
BERNARDA,F
BERNARDETTA,F
BERNARDINA,F
BERNARDINE,F
BERNARDINO,M
BERNARDO,M
BERNAT,M
BERNÁT,M
BERND,M
BERNEICE,F
BERNETTA,F
BERNHARD,M
BERNICE,F
BERNIE,M
BERNIECE,F
BERNITA,F
BERNT,M
BERT,M
BERTA,F
BERTALAN,M
BERTHA,F
BERTHE,F
BERTHOLD,M
BERTINA,F
BERTÓK,M
BERTOLDO,M
BERTRAM,M
BERTRAND,M
BERTRANDO,M
BERWYN,M
BERYL,F
BESS,F
BESSIE,F
BETH,F
BETHAN,F
BETHANIA,F
BETHANIE,F
BETHANN,F
BETHANY,F
BETHEL,F
BETHNEY,F
BETHUEL,M
BETRYS,F
BETSEY,F
BETSY,F
BETTE,F
BETTIE,F
BETTINA,F
BETTINO,M
BETTY,F
BETTYANN,F
BETTYE,F
BEULA,F
BEULAH,F
BEV,F
BEVAN,M
BEVERLEE,F
BEVERLEY,F
BEVERLY,F
BEVIN,F
BEVIS,M
BEYLKE,F
BHALTAIR,M
BHARAT,M
BHASKAR,M
BHÀTAIR,M
BIAGGIO,M
BIAGINO,M
BIAGIO,M
BIANCA,F
BIBI,F
BIBIANA,F
BICE,F
BICH,F
BIDDY,F
BIDELIA,F
BIENVENIDA,F
BIJAY,M
BIJOY,M
BILE,M
BILGE,F
BILHAH,F
BILL,M
BILLI,F
BILLIE,M
BILLY,M
BILLYE,F
BINDY,F
BINE,F
BINH,M
BINYAMIN,M
BIRDIE,F
BIRGER,M
BIRGIT,F
BIRGITTA,F
BITHIAH,F
BJARNE,M
BJOERN,M
BJÖRN,M
BJORNE,M
BLAANID,F
BLAINE,M
BLAIR,M
BLAISE,M
BLÁITHÍN,F
BLAKE,M
BLANCA,F
BLANCH,F
BLANCHE,F
BLANID,F
BLÁTHNAID,F
BLÁTHNAT,F
BLAZE,M
BLAZEJ,M
BLEJAN,F
BLODEUWEDD,F
BLODEUYN,F
BLODWEN,F
BLONDELL,F
BLONDIE,F
BLOSSOM,F
BLUMA,F
BO,M
BOADICEA,F
BOAZ,M
BOB,M
BOBBI,F
BOBBY,M
BOBBYE,F
BOBETTE,F
BODIL,F
BOGDAN,M
BOGDANA,F
BOGHOS,M
BOGUMIL,M
BOGUSLAW,M
BOHDAN,M
BOHUMIR,M
BOHUSLAV,M
BOHUSLAVA,F
BOIPELO,M
BOITUMELO,F
BOJAN,M
BOJANA,F
BOK,F
BOLANLE,F
BOLDIZSÁR,M
BOLEK,M
BOLESLAV,M
BOLESLAVA,F
BOLESLAW,M
BOLESLAWA,F
BOLIVAR,M
BONAVENTURE,M
BONG,F
BONIFACE,M
BONIFACIO,M
BONIFAZ,M
BONITA,F
BONNIE,F
BONNY,F
BOOKER,M
BOPHA,F
BORA,M
BORBÁLA,F
BORGHILD,F
BORIS,M
BORISLAV,M
BÖRJE,M
BORYA,M
BOSEDE,M
BOSMAT,F
BOTROS,M
BOTUM,F
BOUDICCA,F
BOULOS,M
BOUTROS,M
BOYCE,M
BOYD,M
BOZIDAR,M
BÖZSI,F
BOZYDAR,M
BRACK,M
BRAD,M
BRADEN,M
BRADFORD,M
BRADLEY,M
BRADLY,M
BRADY,M
BRAEDEN,M
BRAELYN,F
BRAHMA,M
BRAIDEN,M
BRAIDY,M
BRAIN,M
BRAITH,F
BRAM,M
BRAN,M
BRAND,M
BRANDA,F
BRANDE,F
BRANDEE,F
BRANDEN,M
BRANDI,F
BRANDIE,F
