date,tweet_pgh,tweet_sf,tweet_ny,tweet_houston,tweet_cleveland,tweet_seattle,tweet_miami,tweet_detroit,tweet_chicago,tweet_london,flickr_pgh,instagram_pgh 
Wed Jul 23 2014 00:00:00 GMT+0000 (UTC),8044595,,,,,,,,,,151550,115499 
Thu Jul 24 2014 00:00:00 GMT+0000 (UTC),8101828,,,,,,,,,,151550,116465 
Fri Jul 25 2014 00:00:00 GMT+0000 (UTC),8158454,,,,,,,,,,151550,117325 
Sat Jul 26 2014 00:00:00 GMT+0000 (UTC),8210585,,,,,,,,,,151550,117976 
Sun Jul 27 2014 00:00:00 GMT+0000 (UTC),8259366,,,,,,,,,,151550,119073 
Mon Jul 28 2014 00:00:00 GMT+0000 (UTC),8312323,,,,,,,,,,151550,121039 
Tue Jul 29 2014 00:00:00 GMT+0000 (UTC),8367369,,,,,,,,,,151550,121902 
Wed Jul 30 2014 00:00:00 GMT+0000 (UTC),8424253,,,,,,,,,,151550,122456 
Thu Jul 31 2014 00:00:00 GMT+0000 (UTC),8481249,,,,,,,,,,151550,123249 
Fri Aug 01 2014 00:00:00 GMT+0000 (UTC),8538919,,,,,,,,,,151550,123906 
Sat Aug 02 2014 00:00:00 GMT+0000 (UTC),8595148,,,,,,,,,,151550,124641 
Sun Aug 03 2014 00:00:00 GMT+0000 (UTC),8646999,,,,,,,,,,151550,125585 
Mon Aug 04 2014 00:00:00 GMT+0000 (UTC),8701552,,,,,,,,,,151550,126163 
Tue Aug 05 2014 00:00:00 GMT+0000 (UTC),8756534,,,,,,,,,,151550,126861 
Wed Aug 06 2014 00:00:00 GMT+0000 (UTC),8812300,,,,,,,,,,151550,127640 
Thu Aug 07 2014 00:00:00 GMT+0000 (UTC),8868512,,,,,,,,,,151550,128516 
Fri Aug 08 2014 00:00:00 GMT+0000 (UTC),8923440,,,,,,,,,,151550,129750 
Sat Aug 09 2014 00:00:00 GMT+0000 (UTC),8977979,,,,,,,,,,151550,130873 
Sun Aug 10 2014 00:00:00 GMT+0000 (UTC),9030220,,,,,,,,,,151550,132166 
Mon Aug 11 2014 00:00:00 GMT+0000 (UTC),9084523,,,,,,,,,,151550,133593 
Tue Aug 12 2014 00:00:00 GMT+0000 (UTC),9143222,,,,,,,,,,151550,134594 
Wed Aug 13 2014 00:00:00 GMT+0000 (UTC),9203860,,,,,,,,,,151550,135622 
Thu Aug 14 2014 00:00:00 GMT+0000 (UTC),9263625,,,,,,,,,,151550,136526 
Fri Aug 15 2014 00:00:00 GMT+0000 (UTC),9323114,,,,,,,,,,151550,137267 
Sat Aug 16 2014 00:00:00 GMT+0000 (UTC),9323809,,,,,,,,,,151550,137959 
Sun Aug 17 2014 00:00:00 GMT+0000 (UTC),9323809,,,,,,,,,,151550,139052 
Mon Aug 18 2014 00:00:00 GMT+0000 (UTC),9323809,,,,,,,,,,151550,140106 
Tue Aug 19 2014 00:00:00 GMT+0000 (UTC),9323809,,,,,,,,,,151550,141150 
Wed Aug 20 2014 00:00:00 GMT+0000 (UTC),9323809,,,,,,,,,,151550,142291 
Thu Aug 21 2014 00:00:00 GMT+0000 (UTC),9323809,,,,,,,,,,151550,143268 
Fri Aug 22 2014 00:00:00 GMT+0000 (UTC),9333866,,,,,,,,,,151550,144226 
Sat Aug 23 2014 00:00:00 GMT+0000 (UTC),9382108,,,,,,,,,,151550,144914 
Sun Aug 24 2014 00:00:00 GMT+0000 (UTC),9382108,,,,,,,,,,151550,145821 
Mon Aug 25 2014 00:00:00 GMT+0000 (UTC),9382108,,,,,,,,,,151550,146589 
Tue Aug 26 2014 00:00:00 GMT+0000 (UTC),9382108,,,,,,,,,,151550,147400 
Wed Aug 27 2014 00:00:00 GMT+0000 (UTC),9382108,,,,,,,,,,151550,148304 
Thu Aug 28 2014 00:00:00 GMT+0000 (UTC),9385972,,,,,,,,,,151550,149239 
Fri Aug 29 2014 00:00:00 GMT+0000 (UTC),9428210,,,,,,,,,,151550,150036 
Sat Aug 30 2014 00:00:00 GMT+0000 (UTC),9471798,,,,,,,,,,151550,151225 
Sun Aug 31 2014 00:00:00 GMT+0000 (UTC),9517866,,,,,,,,,,151550,153169 
Mon Sep 01 2014 00:00:00 GMT+0000 (UTC),9560118,,,,,,,,,,151550,154377 
Tue Sep 02 2014 00:00:00 GMT+0000 (UTC),9605528,,,,,,,,,,151550,155330 
Wed Sep 03 2014 00:00:00 GMT+0000 (UTC),9651541,,,,,,,,,,151550,155957 
Thu Sep 04 2014 00:00:00 GMT+0000 (UTC),9696226,,,,,,,,,,151550,156449 
Fri Sep 05 2014 00:00:00 GMT+0000 (UTC),9737776,,,,,,,,,,151550,157132 
Sat Sep 06 2014 00:00:00 GMT+0000 (UTC),9766056,,,,,,,,,,151550,161225 
